f, module, argument
1.422830457214352009e+02,9.999999999999998890e-01,-1.085871701857169525e+00
1.436008984651260789e+02,1.000000000000000000e+00,-1.095928642490103133e+00
1.449309574126216660e+02,1.000000000000000222e+00,-1.106078715309086968e+00
1.462733356201129880e+02,9.999999999999998890e-01,-1.116322782442184414e+00
1.476281471909391030e+02,9.999999999999998890e-01,-1.126661713989192126e+00
1.489955072852853561e+02,9.999999999999998890e-01,-1.137096388095096389e+00
1.503755321299738341e+02,1.000000000000000000e+00,-1.147627691024213137e+00
1.517683390283405345e+02,1.000000000000000222e+00,-1.158256517234977023e+00
1.531740463702079751e+02,9.999999999999998890e-01,-1.168983769455437249e+00
1.545927736419478435e+02,9.999999999999998890e-01,-1.179810358759427968e+00
1.560246414366367844e+02,1.000000000000000222e+00,-1.190737204643430358e+00
1.574697714643086783e+02,9.999999999999998890e-01,-1.201765235104152785e+00
1.589282865622977852e+02,1.000000000000000000e+00,-1.212895386716784873e+00
1.604003107056819886e+02,9.999999999999998890e-01,-1.224128604713998536e+00
1.618859690178199173e+02,1.000000000000000000e+00,-1.235465843065644220e+00
1.633853877809860364e+02,1.000000000000000000e+00,-1.246908064559175466e+00
1.648986944471064930e+02,1.000000000000000222e+00,-1.258456240880819310e+00
1.664260176485903457e+02,1.000000000000000000e+00,-1.270111352697457896e+00
1.679674872092653288e+02,1.000000000000000000e+00,-1.281874389739280584e+00
1.695232341554121263e+02,1.000000000000000000e+00,-1.293746350883169249e+00
1.710933907269013332e+02,1.000000000000000000e+00,-1.305728244236841196e+00
1.726780903884356064e+02,1.000000000000000000e+00,-1.317821087223774779e+00
1.742774678408919158e+02,9.999999999999997780e-01,-1.330025906668868885e+00
1.758916590327732479e+02,1.000000000000000000e+00,-1.342343738884916649e+00
1.775208011717635941e+02,9.999999999999998890e-01,-1.354775629759842781e+00
1.791650327363899464e+02,1.000000000000000000e+00,-1.367322634844723384e+00
1.808244934877951664e+02,9.999999999999998890e-01,-1.379985819442635764e+00
1.824993244816152469e+02,1.000000000000000222e+00,-1.392766258698264092e+00
1.841896680799710850e+02,1.000000000000000000e+00,-1.405665037688361929e+00
1.858956679635688261e+02,1.000000000000000222e+00,-1.418683251513005450e+00
1.876174691439119613e+02,1.000000000000000000e+00,-1.431822005387671126e+00
1.893552179756295288e+02,9.999999999999997780e-01,-1.445082414736170495e+00
1.911090621689137947e+02,9.999999999999998890e-01,-1.458465605284383404e+00
1.928791508020777599e+02,9.999999999999998890e-01,-1.471972713154878321e+00
1.946656343342263256e+02,9.999999999999997780e-01,-1.485604884962357986e+00
1.964686646180444427e+02,1.000000000000000000e+00,-1.499363277909972592e+00
1.982883949127071332e+02,1.000000000000000000e+00,-1.513249059886518477e+00
2.001249798969037101e+02,9.999999999999998890e-01,-1.527263409564473928e+00
2.019785756819878486e+02,9.999999999999998890e-01,-1.541407516498959351e+00
2.038493398252464317e+02,9.999999999999998890e-01,-1.555682581227561867e+00
2.057374313432911492e+02,1.000000000000000000e+00,-1.570089815371058073e+00
2.076430107255774828e+02,9.999999999999998890e-01,-1.584630441735066730e+00
2.095662399480432896e+02,9.999999999999998890e-01,-1.599305694412569867e+00
2.115072824868794612e+02,9.999999999999998890e-01,-1.614116818887402882e+00
2.134663033324245589e+02,9.999999999999998890e-01,-1.629065072138640158e+00
2.154434690031882269e+02,1.000000000000000000e+00,-1.644151722745918809e+00
2.174389475600079891e+02,1.000000000000000000e+00,-1.659378050995737208e+00
2.194529086203313568e+02,9.999999999999998890e-01,-1.674745348988652127e+00
2.214855233726359245e+02,1.000000000000000000e+00,-1.690254920747487732e+00
2.235369645909796645e+02,1.000000000000000000e+00,-1.705908082326478947e+00
2.256074066496859132e+02,9.999999999999998890e-01,-1.721706161921396028e+00
2.276970255381679920e+02,9.999999999999998890e-01,-1.737650499980674335e+00
2.298059988758851091e+02,1.000000000000000000e+00,-1.753742449317492680e+00
2.319345059274427570e+02,9.999999999999998890e-01,-1.769983375222897948e+00
2.340827276178294198e+02,1.000000000000000000e+00,-1.786374655579906046e+00
2.362508465477945094e+02,1.000000000000000000e+00,-1.802917680978626036e+00
2.384390470093720467e+02,1.000000000000000222e+00,-1.819613854832426325e+00
2.406475150015424163e+02,1.000000000000000000e+00,-1.836464593495096720e+00
2.428764382460450406e+02,9.999999999999998890e-01,-1.853471326379089623e+00
2.451260062033339864e+02,9.999999999999998890e-01,-1.870635496074790849e+00
2.473964100886811650e+02,1.000000000000000000e+00,-1.887958558470840487e+00
2.496878428884326695e+02,1.000000000000000000e+00,-1.905441982875554885e+00
2.520004993764092092e+02,1.000000000000000000e+00,-1.923087252139368264e+00
2.543345761304648249e+02,1.000000000000000000e+00,-1.940895862778414749e+00
2.566902715491951881e+02,1.000000000000000000e+00,-1.958869325099165781e+00
2.590677858688006268e+02,1.000000000000000000e+00,-1.977009163324171759e+00
2.614673211801091952e+02,9.999999999999997780e-01,-1.995316915718942097e+00
2.638890814457510601e+02,9.999999999999998890e-01,-2.013794134719891993e+00
2.663332725174980737e+02,9.999999999999998890e-01,-2.032442387063468026e+00
2.688001021537607471e+02,1.000000000000000000e+00,-2.051263253916379536e+00
2.712897800372464303e+02,1.000000000000000000e+00,-2.070258331006971098e+00
2.738025177927857499e+02,1.000000000000000000e+00,-2.089429228757782031e+00
2.763385290053169570e+02,1.000000000000000000e+00,-2.108777572419215485e+00
2.788980292380439323e+02,9.999999999999998890e-01,-2.128305002204429197e+00
2.814812360507581275e+02,9.999999999999998890e-01,-2.148013173425381339e+00
2.840883690183301269e+02,9.999999999999998890e-01,-2.167903756630052303e+00
2.867196497493769698e+02,9.999999999999998890e-01,-2.187978437740910831e+00
2.893753019050950570e+02,1.000000000000000000e+00,-2.208238918194525446e+00
2.920555512182745019e+02,1.000000000000000000e+00,-2.228686915082449538e+00
2.947606255124858876e+02,9.999999999999998890e-01,-2.249324161293296598e+00
2.974907547214440342e+02,1.000000000000000000e+00,-2.270152405656049588e+00
3.002461709085549160e+02,9.999999999999998890e-01,-2.291173413084646615e+00
3.030271082866396455e+02,9.999999999999998890e-01,-2.312388964723779416e+00
3.058338032378431421e+02,9.999999999999998890e-01,-2.333800858095978370e+00
3.086664943337274281e+02,9.999999999999997780e-01,-2.355410907249962715e+00
3.115254223555488124e+02,1.000000000000000000e+00,-2.377220942910261758e+00
3.144108303147264678e+02,9.999999999999997780e-01,-2.399232812628146583e+00
3.173229634734976230e+02,1.000000000000000222e+00,-2.421448380933842959e+00
3.202620693657650008e+02,9.999999999999998890e-01,-2.443869529490056092e+00
